=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:08: [INFO] Placing additional elements for SW14
13:30:08: [INFO] Placing additional elements for SW13
13:30:08: [INFO] Placing additional elements for SW12
13:30:08: [INFO] Placing additional elements for SW11
13:30:08: [INFO] Placing additional elements for SW10
13:30:08: [INFO] Placing additional elements for SW9
13:30:08: [INFO] Placing additional elements for SW8
13:30:08: [INFO] Placing additional elements for SW7
13:30:08: [INFO] Placing additional elements for SW6
13:30:08: [INFO] Placing additional elements for SW5
13:30:08: [INFO] Placing additional elements for SW4
13:30:08: [INFO] Placing additional elements for SW3
13:30:08: [INFO] Placing additional elements for SW2
13:30:08: [INFO] Placing additional elements for SW1
13:30:08: [INFO] Routing SW82 with D82
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW82:2' at (345440000, 133032500) with pad 'D82:2' at (347980000, 140712500) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(345440000, 133032500), (345440000, 138172500)]
13:30:08: [INFO] Adding track segment (B.Cu): [(345440000, 138172500), (347980000, 140712500)]
13:30:08: [INFO] Routing SW81 with D81
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW81:2' at (321627500, 133032500) with pad 'D81:2' at (324167500, 140712500) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(321627500, 133032500), (321627500, 138172500)]
13:30:08: [INFO] Adding track segment (B.Cu): [(321627500, 138172500), (324167500, 140712500)]
13:30:08: [INFO] Routing SW80 with D80
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW80:2' at (297815000, 133032500) with pad 'D80:2' at (300355000, 140712500) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(297815000, 133032500), (297815000, 138172500)]
13:30:08: [INFO] Adding track segment (B.Cu): [(297815000, 138172500), (300355000, 140712500)]
13:30:08: [INFO] Routing SW79 with D79
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW79:2' at (271621250, 133032500) with pad 'D79:2' at (274161250, 140712500) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(271621250, 133032500), (271621250, 138172500)]
13:30:08: [INFO] Adding track segment (B.Cu): [(271621250, 138172500), (274161250, 140712500)]
